prod_id;prod_name;prod_description;prod_brand;category;prod_unit_price
5244812;Paprika Mccormick ;Paprika Mccormick X 60g;MCCORMICK;Despensa;5990
20037116;Pan de Chocolate;Pan de Chocolate;JUMBO;Panadería y Pastelería;1800
20037147;Pan de uva individual;Pan de uva individual;JUMBO;Panadería y Pastelería;1850
20144418;Pandebono individual ;Pandebono individual x und - Pan de bono individual x und;JUMBO;Panadería y Pastelería;1850
20196554;Pan chocolate almendra individual;Pan chocolate almendra individual;JUMBO;Panadería y Pastelería;2400
20247386;Arepa de queso individual;Arepa de queso individual;JUMBO;Panadería y Pastelería;1700
20276157;Milhoja;Milhoja;JUMBO;Panadería y Pastelería;8090
20315290;Croissant Queso ;Croissant Queso X Und;JUMBO;Panadería y Pastelería;2450
20647230;Soda Bretaña ;Soda Bretaña x 8 und x 2.5L;BRETANA;Bebidas;32990
20724948;Semilla de girasol tostada ;Semilla de girasol tostada x 150 g;INSUALIMENTOS;Pasabocas;5890
20724955;Habas fritas ;Habas fritas x 150 g;INSUALIMENTOS;Pasabocas;8380
20724962;semillas de sésamo tostado(ajonjolí) ;semillas de sésamo tostado(ajonjolí) x 200 g;INSUALIMENTOS;Pasabocas;6990
20724979;Almendra tostada ;Almendra tostada x 150 g;INSUALIMENTOS;Pasabocas;22650
20724986;nuez de marañón ;nuez de marañón x 150 g;INSUALIMENTOS;Pasabocas;25980
20725006;Maíz tostado ;Maíz tostado x 150 g;INSUALIMENTOS;Pasabocas;5380
20725013;nueces surtidas ;nueces surtidas x 150 g;INSUALIMENTOS;Pasabocas;7880
20725020;nuez de Brasil ;nuez de Brasil x 150 g;INSUALIMENTOS;Pasabocas;20300
20725037;Mix fiesta ;Mix fiesta x 150 g;INSUALIMENTOS;Pasabocas;4990
20725044;Almendra natural ;Almendra natural x 150 g;INSUALIMENTOS;Pasabocas;21900
20725051;Maíz B.B.Q ;Maíz B.B.Q X 150 Gr;INSUALIMENTOS;Pasabocas;5990
20725068;Uva pasa ;Uva pasa x 150 g;INSUALIMENTOS;Pasabocas;5280
20725082;Maní Salado ;Maní Salado x 250 g;INSUALIMENTOS;Pasabocas;6490
20725099;Linaza ;Linaza x 250 g;INSUALIMENTOS;Pasabocas;7390
20725105;Mezcla Macadamia Pecan Arándano Uva blanca ;Mezcla Macadamia Pecan Arándano Uva blanca x 150 g;INSUALIMENTOS;Pasabocas;19980
20725112;Almendra en láminas ;Almendra en láminas x 100 g;INSUALIMENTOS;Pasabocas;13390
20725129;Maní Sin Sal ;Maní Sin Sal x 250 g;INSUALIMENTOS;Pasabocas;9250
20725136;Ciruela pasa ;Ciruela pasa x 250 g;INSUALIMENTOS;Pasabocas;13260
20725143;Albaricoques deshidratados granel ;Albaricoques deshidratados granel x 150 g;INSUALIMENTOS;Pasabocas;19180
20725167;Quinua tostada ;Quinua tostada x 150 g;INSUALIMENTOS;Pasabocas;14380
20725174;uvas pasas con chocolate ;uvas pasas con chocolate x 200 g;INSUALIMENTOS;Pasabocas;8660
20725181;nuez del nogal ;nuez del nogal x 100 g;INSUALIMENTOS;Pasabocas;19800
20725198;Datiles ;Datiles x 100 g;INSUALIMENTOS;Pasabocas;8280
20725204;Macadamia ;Macadamia x 150 g;INSUALIMENTOS;Pasabocas;33780
20725211;Mix tropical ;Mix tropical x 100 g;INSUALIMENTOS;Pasabocas;7680
20725228;Semillas de calabaza ;Semillas de calabaza x 150 g;INSUALIMENTOS;Pasabocas;16980
20725235;coco deshidratado ;coco deshidratado x 130 g;INSUALIMENTOS;Pasabocas;8550
20725242;semilla de chía ;semilla de chía x 150g;INSUALIMENTOS;Pasabocas;6200
